Dataset:./datasets/CAIDA/0.dat,,,,,,,Join Ground Truth = 6.79372e+08
Memory,AAE,ARE,VAR,Max,Min,Insert time,Join time
140000,2065316.7,0.003040038,4.40195E+12,3825837,1641358,0.07538777,0.00016043
150000,1787659.25,0.002631341,3.35064E+12,4319173,1377579,0.07597101,0.00017416
160000,1545694.88,0.002275182,2.41787E+12,2255247,1273382,0.07689902,0.00018716
170000,1425838.47,0.00209876,2.09487E+12,2884266,1135447,0.07650151,0.00019733
180000,1274912.97,0.001876605,1.68189E+12,2476549,993985,0.07527398,0.0002033
190000,1113236.41,0.001638626,1.26012E+12,1868367,921583,0.07564611,0.00021564
200000,1019516.59,0.001500675,1.103E+12,3269001,839768,0.07513037,0.00022851
10000,77134012.89,0.113537239,5.98502E+15,98000624,64373898,0.10014462,0.00005765
20000,32741863.25,0.048194313,1.08096E+15,44932092,26725495,0.09835406,0.00011458
30000,19091989.59,0.028102412,3.67134E+14,24052166,15472087,0.09586076,0.00017148
40000,12976448.08,0.019100654,1.70796E+14,19842800,10611174,0.09380533,0.00022637
50000,9686547.42,0.014258092,9.65135E+13,18452903,7855242,0.0935428,0.00028765
60000,7457184.17,0.010976586,5.61836E+13,9485882,5807884,0.09233671,0.00033921
70000,6040764.54,0.00889169,3.74552E+13,13546797,4921618,0.09121007,0.00039171
80000,4964711.16,0.007307796,2.52126E+13,8845503,3925388,0.09367847,0.00049878
90000,4151476.68,0.006110757,1.75196E+13,5741928,3393494,0.09029338,0.00050874
100000,3445796.23,0.005072032,1.21711E+13,6555697,2673931,0.09833372,0.00061645
110000,2891836.59,0.004256632,8.55066E+12,5169990,2318226,0.09016463,0.0006293
120000,2520276.12,0.003709715,6.68935E+12,7409123,2038628,0.09246971,0.0007013
130000,2146881.7,0.003160098,4.70015E+12,3898803,1682555,0.09948887,0.00082154
140000,1875188.63,0.00276018,3.60547E+12,3350606,1504337,0.09528463,0.00084088
150000,1651147.02,0.002430402,2.77446E+12,2388889,1307340,0.09671601,0.00093557
160000,1465844.56,0.002157647,2.20453E+12,2715601,1106609,0.10189756,0.00105191
170000,1280058.9,0.00188418,1.67298E+12,2446115,1028853,0.09082234,0.00099053
180000,1119494.71,0.001647838,1.26954E+12,1518917,826703,0.09600876,0.00110869
190000,1063896.19,0.001566,1.20861E+12,2979992,794233,0.09318736,0.00113138
200000,922575.53,0.001357983,8.6702E+11,1717001,734862,0.09234601,0.00118101
10000,79172204.48,0.11653735,6.30395E+15,106786590,68799059,0.17890362,0.00013588
20000,32033567.05,0.047151738,1.0365E+15,51898784,24785160,0.1677677,0.0002779
30000,18658589.09,0.027464469,3.50265E+14,22398724,14998686,0.16374092,0.00040931
